subdim	prefix	video	suffix	dim	task_type	negative	positive	index
opening trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_trunk.5340.5373	.mp4	human_vehicle	retrieval	person closing trunk	person opening trunk	0
opening trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_trunk.14845.14945	.mp4	human_vehicle	retrieval	person closing trunk	person opening trunk	2
closing trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_closes_trunk.5379.5452	.mp4	human_vehicle	retrieval	person opening trunk	person closing trunk	3
closing trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_closes_trunk.10501.10542	.mp4	human_vehicle	retrieval	person opening trunk	person closing trunk	4
loading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_loads_vehicle.1612.1710	.mp4	human_vehicle	retrieval	person unloading vehicle	person loading vehicle	5
loading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_loads_vehicle.3174.3234	.mp4	human_vehicle	retrieval	person unloading vehicle	person loading vehicle	6
unloading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_unloads_vehicle.14936.15037	.mp4	human_vehicle	retrieval	person loading vehicle	person unloading vehicle	11
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.9356.9403	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	12
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.950.998	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	13
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.2623.2650	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	14
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.5092.5130	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	15
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.14334.14364	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	16
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.14698.14738	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	17
entering vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_enters_vehicle.15573.15727	.mp4	human_vehicle	retrieval	person exiting vehicle	person entering vehicle	24
opening vehicle door	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_vehicle_door.9725.9822	.mp4	human_vehicle	retrieval	person closing vehicle door	person opening vehicle door	25
opening vehicle door	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_vehicle_door.1119.1192	.mp4	human_vehicle	retrieval	person closing vehicle door	person opening vehicle door	27
opening vehicle door	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_vehicle_door.2048.2099	.mp4	human_vehicle	retrieval	person closing vehicle door	person opening vehicle door	28
opening vehicle door	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_vehicle_door.3037.3103	.mp4	human_vehicle	retrieval	person closing vehicle door	person opening vehicle door	29
opening vehicle door	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_vehicle_door.4537.4624	.mp4	human_vehicle	retrieval	person closing vehicle door	person opening vehicle door	30
opening vehicle door	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_vehicle_door.5652.5700	.mp4	human_vehicle	retrieval	person closing vehicle door	person opening vehicle door	31
