subdim	prefix	video	suffix	dim	task_type	negative	positive	index
opening trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_trunk.5340.5373	.mp4	human_vehicle	retrieval	person closing trunk	person opening trunk	0
opening trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_trunk.10377.10449	.mp4	human_vehicle	retrieval	person closing trunk	person opening trunk	1
opening trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_opens_trunk.14845.14945	.mp4	human_vehicle	retrieval	person closing trunk	person opening trunk	2
closing trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_closes_trunk.5379.5452	.mp4	human_vehicle	retrieval	person opening trunk	person closing trunk	3
closing trunk	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_closes_trunk.10501.10542	.mp4	human_vehicle	retrieval	person opening trunk	person closing trunk	4
loading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_loads_vehicle.1612.1710	.mp4	human_vehicle	retrieval	person unloading vehicle	person loading vehicle	5
loading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_loads_vehicle.3174.3234	.mp4	human_vehicle	retrieval	person unloading vehicle	person loading vehicle	6
loading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_loads_vehicle.10399.10494	.mp4	human_vehicle	retrieval	person unloading vehicle	person loading vehicle	7
loading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_loads_vehicle.15224.15344	.mp4	human_vehicle	retrieval	person unloading vehicle	person loading vehicle	8
unloading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_unloads_vehicle.9874.9954	.mp4	human_vehicle	retrieval	person loading vehicle	person unloading vehicle	9
unloading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_unloads_vehicle.5660.5790	.mp4	human_vehicle	retrieval	person loading vehicle	person unloading vehicle	10
unloading vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_unloads_vehicle.14936.15037	.mp4	human_vehicle	retrieval	person loading vehicle	person unloading vehicle	11
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.9356.9403	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	12
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.950.998	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	13
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.2623.2650	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	14
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.5092.5130	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	15
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.14334.14364	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	16
exiting vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_exits_vehicle.14698.14738	.mp4	human_vehicle	retrieval	person entering vehicle	person exiting vehicle	17
entering vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_enters_vehicle.10144.10274	.mp4	human_vehicle	retrieval	person exiting vehicle	person entering vehicle	18
entering vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_enters_vehicle.2033.2203	.mp4	human_vehicle	retrieval	person exiting vehicle	person entering vehicle	19
entering vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_enters_vehicle.4554.4954	.mp4	human_vehicle	retrieval	person exiting vehicle	person entering vehicle	20
entering vehicle	mllm_embedding/datasets/VIRAT/generated_clips/videos	VIRAT_S_000007.person_enters_vehicle.6758.6874	.mp4	human_vehicle	retrieval	person exiting vehicle	person entering vehicle	21
